"","Symbol","company_name","sector","subsector","Enterprise Value/Revenue","rev","Revenue Per Share (ttm)","Quarterly Revenue Growth (yoy)","sql"
"1","MMM","3M","Industrials","Industrial Conglomerates","2.49",3.476e+10,"60.79","-3.60%","values ('MMM', '3M', 'Industrials', 'Industrial Conglomerates',  34760000000) union all"
"2","AOS","A. O. Smith","Industrials","Building Products","2.36",3.81e+09,"24.38","-4.40%","values ('AOS', 'A. O. Smith', 'Industrials', 'Building Products',   3810000000) union all"
"3","ABT","Abbott","Health Care","Health Care Equipment","4.17",4.503e+10,"25.59","-4.70%","values ('ABT', 'Abbott', 'Health Care', 'Health Care Equipment',  45030000000) union all"
"4","ABBV","AbbVie","Health Care","Pharmaceuticals","5.64",5.782e+10,"32.64","3.30%","values ('ABBV', 'AbbVie', 'Health Care', 'Pharmaceuticals',  57820000000) union all"
"5","ABMD","Abiomed","Health Care","Health Care Equipment","14.94",1.07e+09,"23.61","7.20%","values ('ABMD', 'Abiomed', 'Health Care', 'Health Care Equipment',   1070000000) union all"
"6","ACN","Accenture","Information Technology","IT Consulting & Other Services","2.89",6.159e+10,"97.34","14.90%","values ('ACN', 'Accenture', 'Information Technology', 'IT Consulting & Other Services',  61590000000) union all"
"7","ATVI","Activision Blizzard","Communication Services","Interactive Home Entertainment","6.92",7.36e+09,"9.43","-13.90%","values ('ATVI', 'Activision Blizzard', 'Communication Services', 'Interactive Home Entertainment',   7360000000) union all"
"8","ADM","ADM","Consumer Staples","Agricultural Products","0.61",9.871e+10,"174.78","21.40%","values ('ADM', 'ADM', 'Consumer Staples', 'Agricultural Products',  98710000000) union all"
"9","ADBE","Adobe Inc.","Information Technology","Application Software","9.16",1.719e+10,"36.40","12.70%","values ('ADBE', 'Adobe Inc.', 'Information Technology', 'Application Software',  17190000000) union all"
"10","ADP","ADP","Information Technology","Data Processing & Outsourced Services","6.47",1.688e+10,"40.47","10.00%","values ('ADP', 'ADP', 'Information Technology', 'Data Processing & Outsourced Services',  16880000000) union all"
"11","AAP","Advance Auto Parts","Consumer Discretionary","Automotive Retail","1.32",1.106e+10,"178.80","0.60%","values ('AAP', 'Advance Auto Parts', 'Consumer Discretionary', 'Automotive Retail',  11060000000) union all"
"12","AES","AES Corporation","Utilities","Independent Power Producers & Energy Traders","3.21",1.233e+10,"18.47","19.50%","values ('AES', 'AES Corporation', 'Utilities', 'Independent Power Producers & Energy Traders',  12330000000) union all"
"13","AFL","Aflac","Financials","Life & Health Insurance","2.18",2.093e+10,"32.47","-8.00%","values ('AFL', 'Aflac', 'Financials', 'Life & Health Insurance',  20930000000) union all"
"14","A","Agilent Technologies","Health Care","Health Care Equipment","6.87",6.66e+09,"22.18","8.30%","values ('A', 'Agilent Technologies', 'Health Care', 'Health Care Equipment',   6660000000) union all"
"15","APD","Air Products and Chemicals","Materials","Industrial Gases","5.38",1.27e+10,"57.20","25.70%","values ('APD', 'Air Products and Chemicals', 'Materials', 'Industrial Gases',  12700000000) union all"
"16","AKAM","Akamai","Information Technology","Internet Services & Infrastructure","4.72",3.59e+09,"22.43","2.50%","values ('AKAM', 'Akamai', 'Information Technology', 'Internet Services & Infrastructure',   3590000000) union all"
"17","ALK","Alaska Air Group","Industrials","Airlines","0.75",9.07e+09,"71.81","44.80%","values ('ALK', 'Alaska Air Group', 'Industrials', 'Airlines',   9070000000) union all"
"18","ALB","Albemarle Corporation","Materials","Specialty Chemicals","7.17",5.59e+09,"47.77","151.90%","values ('ALB', 'Albemarle Corporation', 'Materials', 'Specialty Chemicals',   5590000000) union all"
"19","ARE","Alexandria Real Estate Equities","Real Estate","Office REITs","14.09",2.5e+09,"15.75","19.80%","values ('ARE', 'Alexandria Real Estate Equities', 'Real Estate', 'Office REITs',   2500000000) union all"
"20","ALGN","Align Technology","Health Care","Health Care Supplies","4.00",3.86e+09,"49.23","-12.40%","values ('ALGN', 'Align Technology', 'Health Care', 'Health Care Supplies',   3860000000) union all"
"21","ALLE","Allegion","Industrials","Building Products","3.75",3.12e+09,"35.32","27.40%","values ('ALLE', 'Allegion', 'Industrials', 'Building Products',   3120000000) union all"
"22","LNT","Alliant Energy","Utilities","Electric Utilities","5.35",4.07e+09,"16.25","10.80%","values ('LNT', 'Alliant Energy', 'Utilities', 'Electric Utilities',   4070000000) union all"
"23","ALL","Allstate","Financials","Property & Casualty Insurance","0.80",5.078e+10,"183.74","5.80%","values ('ALL', 'Allstate', 'Financials', 'Property & Casualty Insurance',  50780000000) union all"
"24","GOOGL","Alphabet Inc. (Class A)","Communication Services","Interactive Media & Services","4.09",2.8211e+11,"21.45","6.10%","values ('GOOGL', 'Alphabet Inc. (Class A)', 'Communication Services', 'Interactive Media & Services', 282110000000) union all"
"25","GOOG","Alphabet Inc. (Class C)","Communication Services","Interactive Media & Services","4.09",2.8211e+11,"21.45","6.10%","values ('GOOG', 'Alphabet Inc. (Class C)', 'Communication Services', 'Interactive Media & Services', 282110000000) union all"
